INFO 2025-03-30 09:56:10,486 autoreload Watching for file changes with StatReloader
DEBUG 2025-03-30 09:56:10,488 autoreload Waiting for apps ready_event.
DEBUG 2025-03-30 09:56:11,180 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2025-03-30 09:56:11,196 autoreload Watching dir C:\Users\ADMIN\Desktop\school_project\reactapp\buid with glob **/*.
DEBUG 2025-03-30 09:56:11,200 autoreload Watching dir C:\Users\ADMIN\Desktop\school_project\school_app\templates with glob **/*.
DEBUG 2025-03-30 09:56:11,201 autoreload Watching dir C:\Users\ADMIN\Desktop\school_project\locale with glob **/*.mo.
DEBUG 2025-03-30 09:56:11,202 autoreload Watching dir C:\Users\ADMIN\Desktop\school_project\school_app\locale with glob **/*.mo.
DEBUG 2025-03-30 09:56:11,252 utils (0.000) 
            SELECT name, type FROM sqlite_master
            WHERE type in ('table', 'view') AND NOT name='sqlite_sequence'
            ORDER BY name; args=None; alias=default
DEBUG 2025-03-30 09:56:11,257 utils (0.000) SELECT "django_migrations"."id", "django_migrations"."app", "django_migrations"."name", "django_migrations"."applied" FROM "django_migrations"; args=(); alias=default
DEBUG 2025-03-30 09:56:11,568 autoreload File C:\Users\ADMIN\AppData\Local\Programs\Python\Python312\Lib\site-packages\numpy\random\_bounded_integers.cp312-win_amd64.pyd first seen with mtime 1738718117.1435635
DEBUG 2025-03-30 09:56:11,569 autoreload File C:\Users\ADMIN\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\core\handlers\exception.py first seen with mtime 1738717913.0564106
DEBUG 2025-03-30 09:56:11,570 autoreload File C:\Users\ADMIN\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\tseries\__init__.py first seen with mtime 1738718136.3191676
DEBUG 2025-03-30 09:56:11,571 autoreload File C:\Users\ADMIN\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\io\xml.py first seen with mtime 1738718134.7004223
DEBUG 2025-03-30 09:56:11,571 autoreload File C:\Users\ADMIN\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\core\nanops.py first seen with mtime 1738718134.4411952
DEBUG 2025-03-30 09:56:11,572 autoreload File C:\Users\ADMIN\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\core\ops\missing.py first seen with mtime 1738718134.618746
DEBUG 2025-03-30 09:56:11,573 autoreload File C:\Users\ADMIN\AppData\Local\Programs\Python\Python312\Lib\asyncio\transports.py first seen with mtime 1733239652.0
DEBUG 2025-03-30 09:56:11,573 autoreload File C:\Users\ADMIN\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\template\defaulttags.py first seen with mtime 1738717913.7936158
DEBUG 2025-03-30 09:56:11,574 autoreload File C:\Users\ADMIN\AppData\Local\Programs\Python\Python312\Lib\site-packages\sqlparse\lexer.py first seen with mtime 1738717905.885002
DEBUG 2025-03-30 09:56:11,575 autoreload File C:\Users\ADMIN\AppData\Local\Programs\Python\Python312\Lib\site-packages\numpy\_core\_multiarray_umath.cp312-win_amd64.pyd first seen with mtime 1738718117.5276752
DEBUG 2025-03-30 09:56:11,576 autoreload File C:\Users\ADMIN\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\util\__init__.py first seen with mtime 1738718136.3302162
DEBUG 2025-03-30 09:56:11,577 autoreload File C:\Users\ADMIN\AppData\Local\Programs\Python\Python312\Lib\email\feedparser.py first seen with mtime 1733239652.0
DEBUG 2025-03-30 09:56:11,577 autoreload File C:\Users\ADMIN\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\conf\urls\static.py first seen with mtime 1738717907.774956
DEBUG 2025-03-30 09:56:11,578 autoreload File C:\Users\ADMIN\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\core\signals.py first seen with mtime 1738717912.9642494
DEBUG 2025-03-30 09:56:11,579 autoreload File C:\Users\ADMIN\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\http\multipartparser.py first seen with mtime 1738717913.7600858
